CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
100001667,Attrited Customer,26,M,1,College,Married,Unknown,Blue,52,6,0,1,9130.19,1522.2,7607.99,0.62,17118,44,1.31,0.17
100001668,Existing Customer,47,F,0,Post-Graduate,Divorced,$80K - $120K,Blue,28,6,4,6,2753.36,860.66,1892.7,1.76,6664,71,0.82,0.31
100001669,Existing Customer,59,F,2,Post-Graduate,Married,$80K - $120K,Blue,40,5,5,3,21305.83,1322.94,19982.89,1.4,11406,54,2.66,0.06
100001670,Existing Customer,36,M,1,Post-Graduate,Single,$120K +,Blue,32,6,5,0,11525.59,312.07,11213.52,0.46,14815,26,0.25,0.03
100001671,Attrited Customer,28,M,0,Post-Graduate,Single,$60K - $80K,Blue,25,4,6,1,18092.06,839.55,17252.51,1.4,16657,53,2.47,0.05
100001672,Attrited Customer,67,M,5,Post-Graduate,Divorced,$40K - $60K,Gold,40,3,2,3,33731.53,1454.5,32277.03,0.89,15265,89,2.01,0.04
100001673,Existing Customer,31,F,4,Post-Graduate,Married,$120K +,Blue,52,1,1,2,3147.04,1428.95,1718.09,2.6,6174,74,1.28,0.45
100001674,Existing Customer,31,M,2,Post-Graduate,Single,$80K - $120K,Gold,58,6,3,6,30698.54,394.9,30303.64,0.94,17651,81,1.47,0.01
100001675,Existing Customer,45,M,1,College,Divorced,Less than $40K,Blue,33,1,6,1,3949.94,1036.74,2913.2,2.16,15380,149,2.25,0.26
100001676,Existing Customer,46,F,1,Post-Graduate,Single,$80K - $120K,Blue,44,3,1,2,23221.62,1298.76,21922.86,2.12,5240,36,2.05,0.06
100001677,Existing Customer,27,M,4,Doctorate,Divorced,$40K - $60K,Blue,24,4,5,0,12670.86,203.06,12467.8,0.74,8748,57,1.56,0.02
100001678,Existing Customer,51,F,4,Doctorate,Married,$80K - $120K,Blue,53,1,2,4,4405.01,1498.43,2906.58,1.76,5458,28,1.89,0.34
100001679,Existing Customer,56,M,0,Post-Graduate,Divorced,$120K +,Blue,42,4,5,5,26735.93,579.3,26156.63,2.56,6680,94,0.3,0.02
100001680,Existing Customer,51,M,0,Uneducated,Married,Less than $40K,Blue,23,5,6,0,24751.83,2300.52,22451.31,0.48,1240,97,1.02,0.09
100001681,Attrited Customer,57,M,0,College,Single,$80K - $120K,Blue,43,1,0,4,22768.76,671.36,22097.4,1.91,18634,53,0.44,0.03
100001682,Existing Customer,35,M,3,Doctorate,Married,$120K +,Blue,57,4,3,3,33805.99,1968.4,31837.59,0.67,13971,141,2.25,0.06
100001683,Existing Customer,48,M,2,Uneducated,Married,$120K +,Blue,17,5,0,4,1805.04,1455.4,349.64,0.87,16953,139,1.13,0.81
100001684,Existing Customer,31,F,1,Graduate,Single,$120K +,Blue,22,6,1,3,15778.54,1713.37,14065.17,2.02,6863,27,0.3,0.11
100001685,Attrited Customer,48,F,2,Post-Graduate,Married,Less than $40K,Blue,34,1,5,1,20130.54,2254.41,17876.13,1.99,19843,35,2.05,0.11
100001686,Attrited Customer,53,M,4,High School,Married,$120K +,Blue,18,2,0,0,13161.84,2119.53,11042.31,2.06,18935,108,2.15,0.16
100001687,Existing Customer,55,F,5,Post-Graduate,Divorced,Less than $40K,Blue,31,4,4,3,23762.91,319.36,23443.55,1.72,7840,116,1.06,0.01
100001688,Existing Customer,39,M,2,Post-Graduate,Married,Unknown,Blue,15,5,1,6,31572.9,2334.36,29238.54,2.39,18172,60,0.28,0.07
100001689,Existing Customer,62,M,2,Uneducated,Divorced,$40K - $60K,Blue,32,6,0,0,24697.44,346.69,24350.75,2.02,8016,140,1.73,0.01
100001690,Existing Customer,57,M,0,Graduate,Married,$40K - $60K,Blue,55,2,1,0,20358.75,790.97,19567.78,0.8,3030,16,1.9,0.04
100001691,Existing Customer,59,M,4,Uneducated,Single,$40K - $60K,Blue,41,4,0,3,26086.58,1307.83,24778.75,0.48,13198,58,2.8,0.05
100001692,Existing Customer,66,M,2,College,Married,Unknown,Blue,36,1,0,3,4727.45,2333.37,2394.08,0.23,18591,52,2.92,0.49
100001693,Existing Customer,69,F,1,Graduate,Married,$120K +,Blue,42,6,5,4,22419.81,1567.96,20851.85,0.22,18173,13,0.58,0.07
100001694,Existing Customer,47,F,0,Doctorate,Married,Less than $40K,Blue,13,4,5,1,14846.29,2187.38,12658.91,0.5,8931,27,1.74,0.15
100001695,Existing Customer,56,F,2,Graduate,Divorced,Unknown,Blue,31,5,5,1,11839.04,2354.3,9484.74,1.42,17843,104,1.35,0.2
100001696,Existing Customer,32,F,4,Graduate,Single,$40K - $60K,Blue,57,1,1,2,18241.69,1871.21,16370.48,0.22,5177,96,2.56,0.1
100001697,Existing Customer,66,M,5,Uneducated,Single,$60K - $80K,Blue,52,1,2,4,28360.92,1204.77,27156.15,1.27,4302,46,2.55,0.04
100001698,Attrited Customer,46,F,1,Post-Graduate,Married,$40K - $60K,Blue,25,6,6,4,15027.39,970.04,14057.35,2.38,4560,92,1.84,0.06
100001699,Existing Customer,41,M,5,Post-Graduate,Married,$120K +,Blue,49,1,1,0,24883.28,687.92,24195.36,0.56,16862,133,0.59,0.03
100001700,Attrited Customer,45,M,4,Post-Graduate,Divorced,Unknown,Blue,34,3,3,0,21022.43,1266.48,19755.95,2.41,7477,104,1.35,0.06
100001701,Existing Customer,68,F,4,Post-Graduate,Single,$60K - $80K,Blue,16,5,3,3,32149.29,120.09,32029.2,0.73,12630,111,0.4,0.0
100001702,Existing Customer,69,F,4,Post-Graduate,Married,Unknown,Blue,30,2,2,6,16124.63,570.37,15554.26,0.84,18293,76,0.27,0.04
100001703,Existing Customer,72,M,5,College,Married,$80K - $120K,Blue,18,1,0,2,28877.28,895.83,27981.45,0.88,15593,60,2.56,0.03
100001704,Existing Customer,44,M,3,High School,Single,$60K - $80K,Silver,32,5,1,0,29627.21,2133.45,27493.76,1.11,3202,98,2.74,0.07
100001705,Existing Customer,57,M,1,Doctorate,Married,$80K - $120K,Blue,44,3,6,4,16781.97,940.26,15841.71,1.6,16733,20,2.32,0.06
100001706,Existing Customer,40,F,4,Graduate,Married,$60K - $80K,Blue,31,3,5,2,17612.03,598.81,17013.22,2.11,3921,14,1.96,0.03
100001707,Existing Customer,30,M,3,High School,Single,Less than $40K,Blue,20,6,0,4,12336.08,1956.73,10379.35,2.37,5053,147,0.67,0.16
100001708,Existing Customer,36,M,0,College,Divorced,$60K - $80K,Blue,42,1,0,4,17848.79,2357.9,15490.89,0.26,10087,19,1.48,0.13
100001709,Existing Customer,40,M,3,Post-Graduate,Married,$40K - $60K,Blue,19,5,3,4,9474.63,1936.96,7537.67,0.61,15215,130,1.18,0.2
100001710,Existing Customer,54,M,0,College,Married,$80K - $120K,Blue,22,3,5,1,30181.07,314.42,29866.65,2.3,5625,43,1.49,0.01
100001711,Existing Customer,70,F,5,Doctorate,Single,$80K - $120K,Blue,18,1,6,4,9497.05,800.83,8696.22,2.36,10658,98,1.58,0.08
100001712,Existing Customer,29,F,3,Doctorate,Single,Unknown,Blue,32,6,5,1,9759.19,1507.23,8251.96,2.84,6846,42,0.37,0.15
100001713,Existing Customer,61,M,5,College,Divorced,$40K - $60K,Blue,60,4,1,0,31452.39,490.04,30962.35,1.02,19208,37,1.65,0.02
100001714,Existing Customer,48,F,4,High School,Divorced,Less than $40K,Blue,39,4,4,4,19093.45,1591.45,17502.0,0.83,5844,105,2.62,0.08
100001715,Attrited Customer,40,M,3,Graduate,Married,$60K - $80K,Blue,26,4,5,5,4574.69,590.07,3984.62,1.81,5350,106,2.65,0.13
100001716,Existing Customer,71,F,3,Uneducated,Divorced,Less than $40K,Blue,19,2,6,3,12754.65,1356.78,11397.87,0.42,15225,50,1.01,0.11
100001717,Existing Customer,69,F,4,Uneducated,Divorced,$40K - $60K,Blue,23,5,5,5,24983.14,1766.9,23216.24,2.23,8569,142,2.4,0.07
100001718,Attrited Customer,28,F,0,Doctorate,Divorced,$60K - $80K,Blue,16,6,3,3,14797.35,1967.03,12830.32,1.54,7860,126,1.38,0.13
100001719,Existing Customer,57,F,4,Graduate,Married,$40K - $60K,Blue,19,4,5,5,15387.99,2001.4,13386.59,2.19,14485,132,2.84,0.13
100001720,Existing Customer,35,M,1,Post-Graduate,Divorced,$80K - $120K,Blue,48,3,0,1,17955.4,1936.89,16018.51,0.64,15063,142,0.28,0.11
100001721,Existing Customer,65,M,3,College,Divorced,$80K - $120K,Blue,25,2,0,6,8565.18,342.75,8222.43,1.5,3798,79,2.27,0.04
100001722,Existing Customer,63,M,1,Post-Graduate,Divorced,$80K - $120K,Blue,15,4,4,1,15417.86,2473.31,12944.55,1.17,19513,59,2.6,0.16
100001723,Existing Customer,47,F,4,Doctorate,Single,$120K +,Blue,38,1,0,2,8321.63,1930.38,6391.25,1.52,11774,105,1.78,0.23
100001724,Existing Customer,39,F,5,College,Divorced,$120K +,Blue,26,3,2,4,12925.34,260.33,12665.01,1.76,5550,27,1.39,0.02
100001725,Existing Customer,42,M,4,Uneducated,Divorced,$80K - $120K,Blue,31,2,4,4,19100.58,1743.92,17356.66,2.12,4400,138,0.84,0.09
100001726,Existing Customer,46,F,2,Doctorate,Single,$120K +,Blue,33,2,5,6,24586.6,1175.0,23411.6,2.63,14781,56,0.29,0.05
100001727,Attrited Customer,40,F,1,Doctorate,Single,$120K +,Blue,53,3,0,4,22553.45,1069.91,21483.54,0.85,16738,69,2.71,0.05
100001728,Existing Customer,40,M,2,Graduate,Married,Unknown,Blue,60,4,3,4,20567.84,1691.53,18876.31,1.4,9541,19,0.47,0.08
100001729,Existing Customer,26,F,1,High School,Married,$40K - $60K,Blue,47,6,3,2,21248.15,419.74,20828.41,0.52,3373,75,2.76,0.02
100001730,Existing Customer,49,M,5,Doctorate,Single,Unknown,Blue,41,6,6,0,18371.57,2498.57,15873.0,1.14,19959,74,1.83,0.14
100001731,Existing Customer,37,F,2,High School,Married,$60K - $80K,Blue,44,1,2,1,21896.87,1361.21,20535.66,1.26,15481,39,1.64,0.06
100001732,Existing Customer,35,M,2,Graduate,Divorced,$80K - $120K,Blue,39,1,4,1,13767.64,1486.59,12281.05,1.44,6547,144,2.31,0.11
100001733,Existing Customer,71,F,1,Doctorate,Married,Unknown,Blue,49,6,4,3,31581.22,1062.98,30518.24,2.8,15023,72,1.57,0.03
100001734,Existing Customer,67,F,4,Doctorate,Divorced,Unknown,Blue,51,6,0,5,21079.05,1514.8,19564.25,2.75,13466,82,1.26,0.07
100001735,Attrited Customer,67,F,0,Uneducated,Divorced,$120K +,Blue,15,1,0,6,32844.11,1660.03,31184.08,0.39,9500,141,2.99,0.05
100001736,Existing Customer,56,F,4,College,Divorced,$40K - $60K,Blue,25,2,1,4,14755.79,863.74,13892.05,1.36,9771,71,2.47,0.06
100001737,Existing Customer,36,F,0,High School,Single,$40K - $60K,Blue,13,4,5,1,14413.5,1155.21,13258.29,1.1,19604,48,2.11,0.08
100001738,Existing Customer,41,M,1,Uneducated,Married,Unknown,Blue,48,6,2,3,33810.68,638.99,33171.69,1.21,1676,82,2.97,0.02
100001739,Existing Customer,34,F,3,Doctorate,Married,$60K - $80K,Blue,58,6,4,6,25787.9,1929.88,23858.02,2.3,7627,148,0.38,0.07
100001740,Existing Customer,72,M,4,Graduate,Single,$40K - $60K,Blue,30,3,0,2,18637.15,1843.44,16793.71,0.75,3978,114,2.08,0.1
100001741,Existing Customer,39,M,2,Post-Graduate,Single,Less than $40K,Blue,25,5,5,3,25429.21,2027.33,23401.88,2.32,12565,47,0.75,0.08
100001742,Existing Customer,44,M,4,Uneducated,Married,Less than $40K,Blue,18,1,4,5,14488.6,1757.08,12731.52,2.77,11678,54,2.12,0.12
100001743,Existing Customer,56,F,1,Uneducated,Single,$80K - $120K,Blue,20,3,5,4,26799.46,50.25,26749.21,2.14,11410,120,0.65,0.0
100001744,Existing Customer,34,M,3,Post-Graduate,Single,Unknown,Blue,44,6,2,3,8125.65,477.87,7647.78,1.35,3332,142,2.14,0.06
100001745,Existing Customer,61,F,3,Doctorate,Divorced,$60K - $80K,Blue,35,6,3,4,33329.91,971.53,32358.38,0.38,6917,76,0.63,0.03
100001746,Existing Customer,64,F,4,Uneducated,Divorced,Unknown,Blue,53,3,2,2,16669.05,585.46,16083.59,0.49,2492,49,2.65,0.04
100001747,Existing Customer,51,F,4,High School,Divorced,Less than $40K,Blue,54,6,4,2,4158.82,1329.25,2829.57,2.2,12490,127,2.78,0.32
100001748,Existing Customer,33,M,5,Doctorate,Single,$60K - $80K,Blue,32,1,0,2,29730.44,2245.3,27485.14,0.52,12851,104,1.46,0.08
100001749,Existing Customer,49,F,4,High School,Single,$80K - $120K,Blue,55,5,4,5,31408.19,1845.13,29563.06,1.36,5667,42,0.63,0.06
100001750,Existing Customer,33,F,1,High School,Divorced,$40K - $60K,Silver,12,2,1,3,25818.57,666.37,25152.2,2.64,19019,119,1.62,0.03
100001751,Existing Customer,44,F,0,Uneducated,Divorced,$40K - $60K,Blue,32,2,5,4,22409.94,993.92,21416.02,1.7,5525,86,0.48,0.04
100001752,Existing Customer,72,M,5,Doctorate,Married,$40K - $60K,Blue,51,4,2,1,32566.24,129.88,32436.36,1.14,2811,85,1.54,0.0
100001753,Existing Customer,55,M,0,Uneducated,Divorced,Less than $40K,Blue,35,6,1,4,22149.9,15.6,22134.3,0.85,18548,55,1.47,0.0
100001754,Attrited Customer,47,M,2,Uneducated,Divorced,$60K - $80K,Blue,49,2,4,3,27908.12,1062.84,26845.28,1.71,15160,117,0.85,0.04
100001755,Existing Customer,34,M,1,Doctorate,Married,Less than $40K,Blue,55,3,6,2,17022.34,1819.84,15202.5,1.15,13129,146,2.06,0.11
100001756,Attrited Customer,69,F,5,Doctorate,Married,$120K +,Blue,52,2,4,0,25725.0,2152.02,23572.98,2.88,15639,14,0.21,0.08
100001757,Existing Customer,29,M,3,Doctorate,Married,$60K - $80K,Blue,15,4,5,1,34965.4,1078.69,33886.71,0.24,13677,126,2.51,0.03
100001758,Existing Customer,62,F,5,Doctorate,Married,$80K - $120K,Blue,17,3,1,6,14005.17,450.64,13554.53,2.85,12726,113,0.65,0.03
100001759,Existing Customer,33,M,2,Graduate,Single,Less than $40K,Blue,14,3,0,4,25483.63,653.44,24830.19,0.79,7234,108,0.68,0.03
100001760,Existing Customer,26,F,3,Doctorate,Married,$40K - $60K,Blue,45,5,0,5,6062.33,1113.69,4948.64,1.81,11601,53,2.03,0.18
100001761,Attrited Customer,53,M,5,Post-Graduate,Married,$40K - $60K,Blue,36,6,2,6,22593.35,1623.97,20969.38,0.94,2782,72,2.27,0.07
100001762,Existing Customer,31,M,3,Doctorate,Single,$40K - $60K,Blue,38,1,5,4,11978.19,1357.08,10621.11,2.49,8428,13,1.55,0.11
100001763,Existing Customer,72,M,4,Uneducated,Married,Less than $40K,Blue,29,1,1,0,30464.3,2101.54,28362.76,2.16,15297,122,1.73,0.07
100001764,Existing Customer,61,F,3,Post-Graduate,Married,Less than $40K,Blue,16,1,2,5,13227.75,46.3,13181.45,0.86,3809,58,0.37,0.0
100001765,Existing Customer,36,F,5,College,Married,$40K - $60K,Blue,35,4,2,2,16134.9,2480.32,13654.58,1.78,18609,145,2.15,0.15
100001766,Existing Customer,30,M,3,High School,Single,$40K - $60K,Silver,43,2,3,0,34330.55,2323.02,32007.53,2.74,2884,37,1.98,0.07
100001767,Existing Customer,49,M,1,Graduate,Divorced,$40K - $60K,Blue,32,1,5,2,8322.61,374.09,7948.52,0.83,19453,62,0.63,0.04
100001768,Existing Customer,72,M,4,Post-Graduate,Married,$120K +,Blue,55,2,2,6,20201.87,120.42,20081.45,2.48,10078,103,0.42,0.01
100001769,Existing Customer,43,M,4,High School,Married,Less than $40K,Blue,45,1,5,5,30367.78,1544.14,28823.64,2.42,760,16,0.93,0.05
100001770,Existing Customer,45,M,2,Graduate,Married,$40K - $60K,Silver,40,5,5,6,11704.11,1803.51,9900.6,1.27,1196,19,0.37,0.15
100001771,Existing Customer,53,M,4,Doctorate,Married,$80K - $120K,Blue,16,2,2,6,1519.29,1188.19,331.1,0.31,9744,17,1.0,0.78
100001772,Attrited Customer,38,F,0,High School,Single,$40K - $60K,Blue,39,4,3,4,31475.59,695.66,30779.93,0.67,15576,25,1.67,0.02
100001773,Attrited Customer,30,F,1,Uneducated,Divorced,Less than $40K,Blue,17,6,2,5,22067.49,1597.88,20469.61,1.53,11577,16,1.81,0.07
100001774,Existing Customer,55,F,2,Uneducated,Married,$80K - $120K,Blue,22,6,2,2,8834.46,1589.59,7244.87,1.52,9860,134,2.83,0.18
100001775,Existing Customer,26,F,0,Doctorate,Married,Unknown,Blue,50,4,5,1,10395.38,370.83,10024.55,0.5,6896,24,1.22,0.04
100001776,Existing Customer,47,F,3,High School,Single,Unknown,Blue,59,2,2,3,28185.97,1998.72,26187.25,1.0,14768,75,0.22,0.07
100001777,Existing Customer,43,F,0,Doctorate,Divorced,Unknown,Blue,19,6,1,3,22831.33,1873.78,20957.55,1.26,19538,57,0.26,0.08
100001778,Existing Customer,71,M,2,Doctorate,Divorced,Less than $40K,Blue,46,4,3,2,25908.42,212.07,25696.35,2.49,14356,140,1.55,0.01
100001779,Attrited Customer,30,M,4,Graduate,Divorced,Less than $40K,Blue,22,3,0,4,20625.56,1156.16,19469.4,2.72,10795,54,0.99,0.06
100001780,Existing Customer,56,M,1,High School,Married,Less than $40K,Blue,31,4,2,4,27861.38,983.53,26877.85,1.89,12144,27,0.67,0.04
100001781,Attrited Customer,31,M,2,College,Married,$60K - $80K,Blue,54,5,1,5,28916.26,1156.18,27760.08,0.97,6386,78,1.81,0.04
100001782,Existing Customer,52,M,0,Doctorate,Married,$80K - $120K,Blue,33,5,1,5,14154.49,1153.23,13001.26,2.12,9201,122,0.49,0.08
100001783,Existing Customer,50,F,0,Graduate,Single,$120K +,Blue,52,2,1,2,31632.69,1310.12,30322.57,2.85,7971,79,1.9,0.04
100001784,Existing Customer,54,F,2,Graduate,Single,$120K +,Silver,23,4,3,6,18176.78,693.01,17483.77,0.51,14462,74,2.73,0.04
100001785,Attrited Customer,53,F,5,High School,Single,$60K - $80K,Blue,59,2,6,0,6445.63,1174.09,5271.54,0.99,17070,143,0.45,0.18
100001786,Existing Customer,41,F,5,Post-Graduate,Married,Less than $40K,Blue,16,1,6,0,8428.13,248.74,8179.39,1.73,13688,83,2.93,0.03
100001787,Existing Customer,37,F,2,Doctorate,Married,$120K +,Blue,45,3,3,0,25950.04,441.72,25508.32,1.15,15832,111,1.8,0.02
100001788,Existing Customer,45,M,5,Doctorate,Married,$80K - $120K,Blue,53,2,4,4,13829.59,220.08,13609.51,2.62,15477,123,0.82,0.02
100001789,Existing Customer,43,F,2,High School,Divorced,$40K - $60K,Blue,45,2,2,2,9922.95,465.44,9457.51,0.93,15552,19,1.31,0.05
100001790,Existing Customer,59,F,4,Post-Graduate,Single,$80K - $120K,Blue,41,2,0,6,21562.25,10.83,21551.42,2.67,18197,111,1.51,0.0
100001791,Existing Customer,48,F,2,Graduate,Single,Less than $40K,Blue,34,6,0,2,27597.19,94.58,27502.61,2.53,9782,129,0.43,0.0
100001792,Existing Customer,70,M,3,Uneducated,Divorced,$80K - $120K,Blue,47,2,4,4,4713.7,1991.59,2722.11,0.67,5657,41,2.14,0.42
100001793,Existing Customer,52,M,1,Doctorate,Divorced,Unknown,Blue,36,6,0,2,16270.29,497.82,15772.47,0.46,16362,34,2.73,0.03
100001794,Existing Customer,42,M,1,Uneducated,Divorced,Less than $40K,Blue,59,5,2,1,27230.0,1299.97,25930.03,2.1,12166,32,2.63,0.05
100001795,Existing Customer,46,M,3,Doctorate,Married,$80K - $120K,Blue,17,3,0,0,31723.38,925.92,30797.46,1.32,7614,85,1.41,0.03
100001796,Existing Customer,65,M,0,High School,Divorced,$60K - $80K,Blue,53,1,2,6,1460.71,822.57,638.14,0.85,1658,26,0.25,0.56
100001797,Existing Customer,56,M,0,Doctorate,Married,$80K - $120K,Blue,40,3,3,2,23307.06,2142.75,21164.31,2.76,10612,44,2.94,0.09
100001798,Existing Customer,28,F,0,Post-Graduate,Married,Unknown,Blue,32,2,6,4,21310.63,1215.57,20095.06,0.45,15015,105,0.44,0.06
100001799,Existing Customer,42,F,0,Doctorate,Single,$120K +,Blue,18,5,3,2,18603.19,1292.01,17311.18,2.53,11069,35,2.34,0.07
100001800,Attrited Customer,51,F,4,High School,Divorced,$40K - $60K,Blue,48,1,2,5,6446.7,1147.77,5298.93,1.77,16513,146,1.06,0.18
100001801,Existing Customer,48,M,3,College,Married,$60K - $80K,Silver,56,6,6,5,26220.78,672.35,25548.43,0.54,10755,141,2.69,0.03
100001802,Existing Customer,31,M,1,High School,Married,$80K - $120K,Blue,52,2,6,4,14355.06,1708.13,12646.93,1.25,9209,113,2.73,0.12
100001803,Existing Customer,53,M,3,High School,Divorced,Less than $40K,Platinum,20,6,5,2,8977.25,117.95,8859.3,1.7,9683,116,1.26,0.01
100001804,Existing Customer,33,M,1,High School,Married,$60K - $80K,Blue,58,2,2,3,29900.85,703.68,29197.17,0.68,5772,17,1.16,0.02
100001805,Existing Customer,70,F,0,High School,Married,$120K +,Blue,47,4,3,1,11439.02,1653.79,9785.23,0.56,8102,44,2.73,0.14
100001806,Existing Customer,33,M,4,Post-Graduate,Married,$40K - $60K,Blue,12,3,2,3,7746.13,83.54,7662.59,0.96,19290,13,2.07,0.01
100001807,Existing Customer,44,M,2,Doctorate,Divorced,Unknown,Blue,42,3,4,2,11609.58,64.27,11545.31,1.77,4115,48,0.26,0.01
100001808,Existing Customer,63,M,2,Post-Graduate,Married,$40K - $60K,Blue,31,3,3,5,7155.79,931.91,6223.88,2.36,17568,121,0.49,0.13
100001809,Existing Customer,54,M,5,Post-Graduate,Single,$80K - $120K,Blue,39,4,0,5,27427.29,627.95,26799.34,2.89,10411,111,0.54,0.02
100001810,Existing Customer,48,M,0,College,Divorced,Unknown,Blue,57,5,3,5,7190.38,1752.4,5437.98,0.62,4024,51,2.99,0.24
100001811,Existing Customer,72,F,0,College,Single,$120K +,Blue,30,5,0,4,25366.72,1889.86,23476.86,0.22,8474,79,1.07,0.07
100001812,Existing Customer,57,M,3,Doctorate,Single,$120K +,Blue,12,5,0,2,6525.02,90.6,6434.42,2.95,5615,67,0.7,0.01
100001813,Existing Customer,35,M,4,Doctorate,Single,$40K - $60K,Blue,40,6,4,4,8694.42,1090.99,7603.43,0.58,14722,21,2.92,0.13
100001814,Existing Customer,52,F,4,High School,Married,$40K - $60K,Blue,21,1,3,5,12645.68,2358.04,10287.64,2.31,2637,41,1.19,0.19
100001815,Attrited Customer,26,M,3,Post-Graduate,Married,$120K +,Blue,47,4,3,0,33302.06,782.41,32519.65,2.37,9374,18,0.79,0.02
100001816,Existing Customer,64,M,4,College,Single,$40K - $60K,Silver,34,4,4,0,32069.75,492.39,31577.36,0.44,9501,12,2.26,0.02
100001817,Existing Customer,54,F,4,Uneducated,Single,Less than $40K,Blue,29,5,6,2,3893.93,1303.24,2590.69,2.47,11952,19,2.36,0.33
100001818,Existing Customer,70,F,2,High School,Divorced,$40K - $60K,Blue,40,5,3,0,12417.98,1127.29,11290.69,0.9,11187,25,2.63,0.09
100001819,Existing Customer,28,F,4,Graduate,Single,Less than $40K,Blue,39,5,6,2,12775.72,548.78,12226.94,2.42,6908,60,0.52,0.04
100001820,Existing Customer,72,F,0,Post-Graduate,Married,Unknown,Blue,55,4,0,5,8193.17,566.92,7626.25,1.09,824,24,0.86,0.07
100001821,Existing Customer,62,F,2,High School,Single,$40K - $60K,Blue,18,5,5,0,15810.97,1716.77,14094.2,2.3,10955,147,2.58,0.11
100001822,Existing Customer,56,F,0,Doctorate,Single,$60K - $80K,Blue,42,3,5,5,26431.84,807.3,25624.54,2.55,11346,47,2.25,0.03
100001823,Existing Customer,36,F,0,High School,Divorced,$60K - $80K,Platinum,49,5,6,1,4377.6,2465.07,1912.53,0.21,4833,134,2.15,0.56
100001824,Existing Customer,47,F,3,Graduate,Single,Unknown,Blue,52,3,2,3,23836.14,724.5,23111.64,1.67,14244,57,1.94,0.03
100001825,Existing Customer,43,F,5,Doctorate,Divorced,Unknown,Blue,13,2,5,0,9865.96,1369.72,8496.24,1.16,7009,82,2.68,0.14
100001826,Existing Customer,60,F,4,Uneducated,Divorced,$60K - $80K,Gold,26,2,5,1,22842.95,182.81,22660.14,2.56,1390,42,1.19,0.01
100001827,Attrited Customer,31,M,4,College,Single,Unknown,Blue,33,4,4,3,24184.38,1347.06,22837.32,1.55,19828,106,2.41,0.06
100001828,Existing Customer,28,F,4,College,Single,Less than $40K,Blue,56,1,5,4,25756.67,1151.52,24605.15,1.27,4814,44,1.18,0.04
100001829,Existing Customer,30,F,4,Graduate,Married,Less than $40K,Blue,22,6,4,3,30298.13,873.37,29424.76,0.61,5272,146,2.42,0.03
100001830,Attrited Customer,34,F,2,Graduate,Married,$80K - $120K,Blue,30,2,6,6,31587.07,1074.06,30513.01,0.99,6130,121,0.6,0.03
100001831,Existing Customer,53,F,1,College,Divorced,$80K - $120K,Blue,17,4,2,3,26810.43,446.17,26364.26,2.98,593,23,1.97,0.02
100001832,Existing Customer,44,F,0,Uneducated,Divorced,$40K - $60K,Blue,20,4,0,1,17357.34,2050.58,15306.76,2.6,15143,91,0.92,0.12
100001833,Existing Customer,53,M,5,Uneducated,Married,Less than $40K,Blue,55,3,2,2,2502.21,2304.48,197.73,1.06,13709,131,0.87,0.92
100001834,Existing Customer,52,M,5,High School,Divorced,$60K - $80K,Blue,40,3,3,5,32861.66,2093.74,30767.92,1.93,2086,72,0.28,0.06
100001835,Existing Customer,38,M,1,Graduate,Married,$60K - $80K,Blue,54,5,2,6,21445.13,2012.18,19432.95,2.99,13902,118,2.71,0.09
100001836,Existing Customer,63,F,1,Graduate,Divorced,$60K - $80K,Blue,14,6,4,1,19175.41,1370.96,17804.45,2.13,11819,15,2.18,0.07
100001837,Existing Customer,68,F,1,Graduate,Married,$40K - $60K,Blue,56,2,1,6,9142.51,834.12,8308.39,1.15,18570,48,2.63,0.09
100001838,Attrited Customer,46,M,2,Doctorate,Married,Less than $40K,Blue,24,3,3,3,24264.03,429.84,23834.19,0.31,1083,55,2.42,0.02
100001839,Existing Customer,52,F,1,College,Divorced,Unknown,Blue,58,1,6,3,34820.85,2049.36,32771.49,2.44,8690,67,1.3,0.06
100001840,Existing Customer,71,F,2,College,Divorced,$40K - $60K,Blue,58,6,5,1,12220.99,108.65,12112.34,1.0,3525,74,2.22,0.01
100001841,Existing Customer,31,M,3,College,Divorced,Unknown,Blue,26,4,5,0,28185.72,452.53,27733.19,0.6,10416,35,0.46,0.02
100001842,Existing Customer,63,F,3,Uneducated,Single,$120K +,Blue,16,6,6,3,10898.18,1004.33,9893.85,0.52,14796,70,2.19,0.09
100001843,Existing Customer,36,F,5,College,Single,$120K +,Blue,16,5,5,5,17582.86,486.56,17096.3,0.5,14120,61,2.79,0.03
100001844,Attrited Customer,72,F,3,High School,Divorced,$80K - $120K,Blue,13,3,2,3,8251.73,1457.49,6794.24,0.52,7185,121,2.83,0.18
100001845,Existing Customer,66,F,2,Doctorate,Divorced,Unknown,Blue,49,3,2,5,18434.68,1810.42,16624.26,1.64,6853,37,0.9,0.1
100001846,Existing Customer,42,F,2,College,Divorced,Less than $40K,Blue,41,3,0,4,16616.23,2272.73,14343.5,2.34,16901,111,1.7,0.14
